Station  Channel  Latitude   Longitude  Azimuth    Distance   StdDev       MaxAmp       P_time     PP_time    Net  Filename
ARPR     BHZ      39.0929    38.3356    317.20     75.51      6.3418e-02   1.8153e+02   701.04     870.18     SYN  ARPRBHZ
CHTO     BHZ      18.8140    98.9445    258.98     57.87      9.5515e-02   1.2191e+02   588.44     716.90     SYN  CHTOBHZ
LUWI     BHZ      -1.0418    122.7717   223.72     62.10      1.4286e-01   1.0873e+02   617.47     754.26     SYN  LUWIBHZ
BJT      BHZ      40.0191    116.1716   265.28     32.37      1.9281e-01   2.2383e+02   386.31     453.60     SYN  BJTBHZ
GUMO     BHZ      13.5893    144.8684   203.41     40.83      2.1095e+00   1.8147e+02   458.34     552.89     SYN  GUMOBHZ
KONO     BHZ      59.6521    9.5946     344.23     65.38      3.7290e-01   1.9830e+02   639.16     783.11     SYN  KONOBHZ
EIL      BHZ      29.6699    34.9512    314.73     85.03      6.8465e-02   1.1702e+02   752.17     949.05     SYN  EILBHZ
CTAO     BHZ      -20.0877   146.2500   193.82     73.63      1.5732e-01   9.8208e+01   690.08     854.18     SYN  CTAOBHZ
DSB      BHZ      53.2452    -6.3762    351.76     73.66      1.2823e-01   1.4453e+02   690.27     854.47     SYN  DSBBHZ
PMG      BHZ      -9.4047    147.1597   194.67     62.94      1.3404e-01   9.7799e+01   623.09     761.66     SYN  PMGBHZ
OBN      BHZ      55.1146    36.5674    327.68     62.78      1.1796e-01   1.9430e+02   622.02     760.24     SYN  OBNBHZ
ANMO     BHZ      34.9459    -106.4572  64.75      64.75      1.5305e-01   9.8227e+01   635.07     777.60     SYN  ANMOBHZ
XMAS     BHZ      2.0448     -157.4457  129.96     61.40      5.7002e-01   1.9559e+02   612.79     748.15     SYN  XMASBHZ
COR      BHZ      44.5855    -123.3046  66.95      48.77      1.9093e-01   1.2994e+02   521.50     634.88     SYN  CORBHZ
MTDJ     BHZ      18.2260    -77.5345   53.58      93.40      2.6917e-01   4.9055e+01   791.79     1015.90    SYN  MTDJBHZ
TARA     BHZ      1.3549     172.9229   163.93     52.23      9.5654e-01   1.8098e+02   547.65     666.32     SYN  TARABHZ
AFI      BHZ      -13.9085   -171.7827  151.13     70.65      9.1674e-01   2.0129e+02   672.24     828.71     SYN  AFIBHZ
MORC     BHZ      49.7766    17.5428    335.90     72.97      4.9064e-02   1.6210e+02   686.20     848.58     SYN  MORCBHZ
CAN      BHZ      -35.3187   148.9963   189.26     88.39      1.9099e-01   1.0489e+02   768.52     976.14     SYN  CANBHZ
