Station    Theo PP-P    Obs PP-P     Diff (s)     Raw Obs (Rel)
-----------------------------------------------------------------
YBH        116.57       111.82       4.75         121.82
V35K       88.67        84.12        4.55         94.12
SBC        127.91       123.44       4.47         133.44
NV31       124.53       120.07       4.46         130.07
BORG       138.14       133.90       4.24         143.90
COR        113.37       109.16       4.21         119.16
ANMO       142.53       138.43       4.10         148.43
TUC        141.47       137.53       3.94         147.53
RSSD       131.30       127.38       3.92         137.38
GLA        135.37       131.46       3.91         141.46
MSVF       159.69       155.93       3.76         165.93
S31K       78.43        74.72        3.71         84.72
SUMG       121.98       118.29       3.69         128.29
DWPF       190.99       187.43       3.56         197.43
TX31       156.19       152.66       3.53         162.66
TGUH       219.05       215.57       3.48         225.57
YKAW1      101.16       97.68        3.48         107.68
SSB        181.80       178.38       3.42         188.38
GRFO       166.42       163.02       3.40         173.02
GRTK       224.58       221.29       3.29         231.29
CMLA       211.57       208.32       3.25         218.32
MTDJ       224.12       220.88       3.24         230.88
UNM        184.39       181.36       3.03         191.36
BBSR       201.45       198.44       3.01         208.44
MORC       162.39       159.38       3.01         169.38
FALKS      161.45       158.45       3.00         168.45
HRV        167.70       164.72       2.98         174.72
IVI        140.96       137.99       2.97         147.99
GTBY       223.15       220.20       2.95         230.20
HGN        166.38       163.44       2.94         173.44
WVT        163.63       160.71       2.92         170.71
ARPR       169.14       166.23       2.91         176.23
ECH        172.42       169.53       2.89         179.53
GNI        159.62       156.75       2.87         166.75
ALE        100.93       98.08        2.85         108.08
WCI        161.08       158.26       2.82         168.26
DSB        164.19       161.42       2.77         171.42
KBS        111.23       108.49       2.74         118.49
HKT        165.95       163.22       2.73         173.22
ANTO       173.36       170.65       2.71         180.65
JAGI       161.28       163.98       2.70         173.98
KIP        104.29       101.60       2.69         111.60
NPW        130.22       132.83       2.61         142.83
SSPA       165.43       162.83       2.60         172.83
PABE       145.65       143.07       2.58         153.07
MTE        201.51       198.93       2.58         208.93
ESK        158.14       155.56       2.58         165.56
QIZ        117.23       114.68       2.55         124.68
POHA       111.21       108.69       2.52         118.69
CCM        155.52       153.08       2.44         163.08
KONO       143.95       141.54       2.41         151.54
VSU        138.32       135.92       2.40         145.92
DAG        116.28       113.88       2.40         123.88
DRLN       163.24       160.92       2.32         170.92
TIRR       166.68       164.48       2.20         174.48
MATE       186.60       184.53       2.07         194.53
SFJD       129.14       127.16       1.98         137.16
EIL        196.88       194.90       1.98         204.90
PLAI       158.00       159.89       1.89         169.89
KIV        154.03       152.18       1.85         162.18
LSA        122.42       120.59       1.83         130.59
KIEV       152.07       150.29       1.78         160.29
GUMO       94.55        96.32        1.77         106.32
CSS        184.98       183.27       1.71         193.27
LUWI       136.79       138.39       1.60         148.39
CHTO       128.46       126.88       1.58         136.88
RAR        186.08       184.57       1.51         194.57
OBN        138.23       136.72       1.51         146.72
SANVU      150.53       152.02       1.49         162.02
RAYN       197.64       196.20       1.44         206.20
HNR        136.49       137.92       1.43         147.92
HKPS       109.09       107.66       1.43         117.66
NWAO       223.91       225.28       1.37         235.28
PPTF       188.82       187.51       1.31         197.51
PMBI       160.81       159.53       1.28         169.53
CTAO       164.11       165.36       1.25         175.36
KEV        120.14       118.96       1.18         128.96
AFI        156.46       155.29       1.17         165.29
LVZ        119.94       118.90       1.04         128.90
WRAB       170.15       171.19       1.04         181.19
SOEI       153.59       154.63       1.04         164.63
AAK        123.74       122.75       0.99         132.75
MBWA       186.69       187.68       0.99         197.68
KAAM       206.31       205.45       0.86         215.45
XMAS       135.35       134.58       0.77         144.58
GSI        161.80       161.03       0.77         171.03
BJT        67.29        68.03        0.74         78.03
KBU        140.75       141.49       0.74         151.49
TLY        73.44        72.75        0.69         82.75
PALK       175.80       175.12       0.68         185.12
ARTI       121.19       120.56       0.63         130.56
PMG        138.57       139.19       0.62         149.19
DAV        120.86       120.31       0.55         130.31
FAKI       133.07       133.60       0.53         143.60
UOSS       177.32       176.80       0.52         186.80
TATO       92.66        92.20        0.46         102.20
TARA       118.66       118.25       0.41         128.25
JZAX       133.87       133.48       0.39         143.48
SNZO       228.14       227.77       0.37         237.77
NOUC       167.20       166.98       0.22         176.98
KAPI       147.59       147.38       0.21         157.38
BORK       116.18       116.01       0.17         126.01
KURK       112.22       112.07       0.15         122.07
CAN        207.62       207.74       0.12         217.74
ULN        72.33        72.22        0.11         82.22
APE        188.15       188.05       0.10         198.05
COCO       194.86       194.77       0.09         204.77
MAKZ       112.99       113.07       0.08         123.07
