Station  Channel  Latitude   Longitude  Azimuth    Distance   Khole  StdDev       P_time     PP_time    Net  Filename
AAK      BHZ      42.6375    74.4942    296.78     55.25      00     1.1431e-01   570.75     693.51     II   Marked/II.AAK.00.BHZ.M.2025.210.232421.SAC
AFI      BHZ      -13.9085   -171.7827  151.13     70.65      00     9.1674e-01   673.40     828.71     IU   Marked/IU.AFI.00.BHZ.M.2025.210.232603.SAC
ALE      BHZ      82.5033    -62.3500   7.42       43.25      00     1.3313e-01   480.94     579.00     II   Marked/II.ALE.00.BHZ.M.2025.210.232249.SAC
ANMO     BHZ      34.9459    -106.4572  64.75      64.75      00     1.5305e-01   639.17     777.60     IU   Marked/IU.ANMO.00.BHZ.M.2025.210.232527.SAC
ANTO     BHZ      39.8681    32.7936    321.38     77.05      00     6.9640e-02   712.45     883.12     IU   Marked/IU.ANTO.00.BHZ.M.2025.210.232641.SAC
APE      BHZ      37.0727    25.5230    325.18     82.17      --     1.4507e-01   737.65     925.70     GE   Marked/GE.APE..BHZ.D.2025.210.232656.SAC
ARPR     BHZ      39.0929    38.3356    317.20     75.51      --     6.3418e-02   703.96     870.18     GE   Marked/GE.ARPR..BHZ.D.2025.210.232628.SAC
ARTI     BHZ      56.3879    58.3849    317.82     53.76      00     1.3721e-01   559.63     680.18     II   Marked/II.ARTI.00.BHZ.M.2025.210.232410.SAC
BBSR     BHZ      32.3713    -64.6963   36.72      86.47      00     7.4673e-02   762.30     960.76     IU   Marked/IU.BBSR.00.BHZ.M.2025.210.232731.SAC
BJT      BHZ      40.0191    116.1716   265.28     32.37      00     1.9281e-01   385.56     453.60     IC   Marked/IC.BJT.00.BHZ.M.2025.210.232117.SAC
BORG     BHZ      64.7474    -21.3268   0.79       62.73      10     5.9340e-01   625.97     759.87     II   Marked/II.BORG.10.BHZ.M.2025.210.232513.SAC
BORK     BHZ      53.0461    70.3184    308.98     50.65      10     1.0761e-01   536.10     652.03     II   Marked/II.BORK.10.BHZ.M.2025.210.232347.SAC
CAN      BHZ      -35.3187   148.9963   189.26     88.39      00     1.9099e-01   768.42     976.14     G    Marked/G.CAN.00.BHZ.D.2025.210.232740.SAC
CCM      BHZ      38.0557    -91.2446   52.48      70.27      00     6.6556e-02   672.36     825.45     IU   Marked/IU.CCM.00.BHZ.M.2025.210.232601.SAC
CHTO     BHZ      18.8140    98.9445    258.98     57.87      10     9.5515e-02   590.00     716.90     IU   Marked/IU.CHTO.10.BHZ.M.2025.210.232439.SAC
CMLA     BHZ      37.7637    -25.5243   4.61       89.58      00     6.8342e-01   777.37     985.69     II   Marked/II.CMLA.00.BHZ.M.2025.210.232745.SAC
COCO     BHZ      -12.1901   96.8349    241.66     84.38      10     2.3046e+00   748.99     943.74     II   Marked/II.COCO.10.BHZ.M.2025.210.232720.SAC
COR      BHZ      44.5855    -123.3046  66.95      48.77      00     1.9093e-01   525.72     634.88     IU   Marked/IU.COR.00.BHZ.M.2025.210.232333.SAC
CSS      BHZ      34.9611    33.3310    318.55     81.11      --     6.5955e-02   733.65     916.92     GE   Marked/GE.CSS..BHZ.D.2025.210.232649.SAC
CTAO     BHZ      -20.0877   146.2500   193.82     73.63      00     1.5732e-01   688.80     854.18     IU   Marked/IU.CTAO.00.BHZ.M.2025.210.232621.SAC
DAG      BHZ      76.7713    -18.6550   359.70     50.72      --     1.0558e-01   538.74     652.61     GE   Marked/GE.DAG..BHZ.D.2025.210.232344.SAC
DAV      BHZ      7.0697     125.5791   224.79     53.56      00     1.7755e+00   558.07     678.38     IU   Marked/IU.DAV.00.BHZ.M.2025.210.232408.SAC
DRLN     BHZ      49.2562    -57.5032   24.69      73.30      --     2.3785e-01   690.44     851.37     CN   Marked/CN.DRLN..BHZ.M.2025.210.232619.SAC
DSB      BHZ      53.2452    -6.3762    351.76     73.66      --     1.2823e-01   693.06     854.47     GE   Marked/GE.DSB..BHZ.D.2025.210.232601.SAC
DWPF     BHZ      28.1103    -81.4327   51.44      83.12      00     1.5049e-01   746.02     933.45     IU   Marked/IU.DWPF.00.BHZ.M.2025.210.232714.SAC
ECH      BHZ      48.2163    7.1590     342.01     76.71      00     6.8440e-02   710.75     880.28     G    Marked/G.ECH.00.BHZ.D.2025.210.232639.SAC
EIL      BHZ      29.6699    34.9512    314.73     85.03      --     6.8465e-02   754.15     949.05     GE   Marked/GE.EIL..BHZ.D.2025.210.232716.SAC
ESK      BHZ      55.3167    -3.2050    350.20     71.31      00     1.1260e-01   678.86     834.43     II   Marked/II.ESK.00.BHZ.M.2025.210.232608.SAC
FAKI     BHZ      -2.9193    132.2489   212.87     60.27      --     1.3148e-01   604.55     738.17     GE   Marked/GE.FAKI..BHZ.D.2025.210.232435.SAC
FALKS    BHZ      51.6819    11.2655    340.49     72.61      --     5.5661e-02   687.07     845.50     GE   Marked/GE.FALKS..BHZ.D.2025.210.232605.SAC
GNI      BHZ      40.1480    44.7410    313.54     71.90      00     8.4700e-02   682.67     839.42     IU   Marked/IU.GNI.00.BHZ.M.2025.210.232611.SAC
GSI      BHZ      1.3039     97.5755    248.68     72.74      --     8.9324e-01   685.63     846.65     GE   Marked/GE.GSI..BHZ.D.2025.210.232613.SAC
