Station  Channel  Latitude   Longitude  Azimuth    Distance   Khole  StdDev       P_time     PP_time    Net  Filename
ABPO     BHZ      -19.0180   47.2290    233.15     62.84      10     1.5879e-01   626.72     762.79     II   Marked/II.ABPO.10.BHZ.M.2025.087.062117.SAC
ACRG     BHZ      5.6415     -0.2072    277.63     93.54      --     1.8194e-01   798.53     1019.07    GE   Marked/GE.ACRG..BHZ.D.2025.087.062401.SAC
ALE      BHZ      82.5033    -62.3500   357.13     74.99      00     4.8274e-01   704.01     867.80     II   Marked/II.ALE.00.BHZ.M.2025.087.062233.SAC
ANTO     BHZ      39.8681    32.7936    304.08     55.83      10     9.5833e-02   579.41     700.70     IU   Marked/IU.ANTO.10.BHZ.M.2025.087.062029.SAC
APE      BHZ      37.0727    25.5230    301.34     61.71      --     3.1836e-01   618.91     752.89     GE   Marked/GE.APE..BHZ.D.2025.087.062107.SAC
ARPR     BHZ      39.0929    38.3356    303.13     51.55      --     7.6154e-02   548.90     662.15     GE   Marked/GE.ARPR..BHZ.D.2025.087.061939.SAC
ARTI     BHZ      56.3879    58.3849    330.87     44.04      00     1.1746e-01   489.12     589.21     II   Marked/II.ARTI.00.BHZ.M.2025.087.061859.SAC
ATD      BHZ      11.5307    42.8466    267.51     51.64      00     8.5199e-02   550.74     662.99     G    Marked/G.ATD.00.BHZ.D.2025.087.061958.SAC
ATLI     BHZ      59.5898    -133.7147  22.71      88.91      --     1.4564e-01   777.53     982.39     CN   Marked/CN.ATLI..BHZ.M.2025.087.062346.SAC
BALJ     BHZ      32.0873    35.6400    294.45     53.96      --     9.7171e-02   566.11     683.96     GE   Marked/GE.BALJ..BHZ.D.2025.087.062009.SAC
BILL     BHZ      68.0653    166.4531   23.48      62.43      00     1.1750e-01   623.09     759.19     IU   Marked/IU.BILL.00.BHZ.M.2025.087.062115.SAC
BORK     BHZ      53.0461    70.3184    334.12     36.68      10     1.5815e-01   428.88     509.14     II   Marked/II.BORK.10.BHZ.M.2025.087.061758.SAC
CAN      BHZ      -35.3187   148.9963   137.64     76.23      00     1.6303e-01   708.71     878.25     G    Marked/G.CAN.00.BHZ.D.2025.087.062240.SAC
CASY     BHZ      -66.2792   110.5354   174.15     88.97      00     4.3933e-01   773.48     982.87     IU   Marked/IU.CASY.00.BHZ.M.2025.087.062346.SAC
COCO     BHZ      -12.1901   96.8349    178.41     34.20      10     2.1470e+00   405.61     478.38     II   Marked/II.COCO.10.BHZ.M.2025.087.061737.SAC
COLA     BHZ      64.8736    -147.8616  22.76      80.49      00     1.7336e-01   733.54     913.87     IU   Marked/IU.COLA.00.BHZ.M.2025.087.062304.SAC
CROWY    BHZ      67.6136    -139.8717  18.60      81.50      --     8.5603e-02   740.40     922.21     CN   Marked/CN.CROWY..BHZ.M.2025.087.062309.SAC
CRZF     BHZ      -46.4300   51.8610    209.35     79.17      00     1.5882e+00   724.95     902.92     G    Marked/G.CRZF.00.BHZ.D.2025.087.062257.SAC
CSS      BHZ      34.9611    33.3310    298.14     55.64      --     1.0071e-01   577.42     699.04     GE   Marked/GE.CSS..BHZ.D.2025.087.062011.SAC
CTAO     BHZ      -20.0877   146.2500   126.73     64.70      00     2.2291e-01   638.92     779.16     IU   Marked/IU.CTAO.00.BHZ.M.2025.087.062130.SAC
DAG      BHZ      76.7713    -18.6550   347.47     73.96      --     3.6301e-01   696.30     859.04     GE   Marked/GE.DAG..BHZ.D.2025.087.062215.SAC
DAMY     BHZ      14.5613    44.3869    270.63     49.28      --     1.1534e-01   533.02     641.56     GE   Marked/GE.DAMY..BHZ.D.2025.087.061939.SAC
DAV      BHZ      7.0697     125.5791   112.90     32.25      10     1.2615e+00   391.49     453.66     IU   Marked/IU.DAV.10.BHZ.M.2025.087.061720.SAC
DGAR     BHZ      -7.4121    72.4525    220.81     37.34      00     6.4788e-01   434.00     516.51     II   Marked/II.DGAR.00.BHZ.M.2025.087.061804.SAC
DRV      BHZ      -66.6649   140.0021   163.88     94.59      00     2.9620e-01   799.95     1027.28    G    Marked/G.DRV.00.BHZ.D.2025.087.062412.SAC
ECH      BHZ      48.2163    7.1590     315.79     72.99      00     2.8568e-01   691.46     850.78     G    Marked/G.ECH.00.BHZ.D.2025.087.062221.SAC
EIL      BHZ      29.6699    34.9512    291.58     54.81      --     9.4712e-02   572.67     691.59     GE   Marked/GE.EIL..BHZ.D.2025.087.062010.SAC
ERM      BHZ      42.0150    143.1572   51.75      44.07      10     5.1589e-01   489.68     589.59     II   Marked/II.ERM.10.BHZ.M.2025.087.061859.SAC
FAKI     BHZ      -2.9193    132.2489   120.34     43.36      --     2.1408e-01   481.93     582.02     GE   Marked/GE.FAKI..BHZ.D.2025.087.061845.SAC
FLT1     BHZ      52.3306    11.2372    319.45     69.58      --     9.5907e-02   670.48     821.54     GE   Marked/GE.FLT1..BHZ.D.2025.087.062200.SAC
GNI      BHZ      40.1480    44.7410    304.99     46.71      00     1.1773e-01   512.87     617.53     IU   Marked/IU.GNI.00.BHZ.M.2025.087.061920.SAC
GRFO     BHZ      49.6909    11.2203    316.68     70.06      00     4.1282e-01   673.89     825.73     IU   Marked/IU.GRFO.00.BHZ.M.2025.087.062204.SAC
GUMO     BHZ      13.5893    144.8684   91.60      47.16      00     7.1585e-01   512.27     622.19     IU   Marked/IU.GUMO.00.BHZ.M.2025.087.061924.SAC
HIA      BHZ      49.2701    119.7414   28.92      33.14      00     3.1632e-01   399.10     465.08     IC   Marked/IC.HIA.00.BHZ.M.2025.087.061728.SAC
HLG      BHZ      54.1831    7.8830     321.78     71.20      --     7.6210e-01   680.91     835.50     GE   Marked/GE.HLG..BHZ.D.2025.087.062201.SAC
HNR      BHZ      -9.4387    159.9475   109.34     70.17      00     4.3422e-01   672.62     826.64     IU   Marked/IU.HNR.00.BHZ.M.2025.087.062204.SAC
IBBN     BHZ      52.3063    7.7592     319.86     71.67      --     1.6751e-01   683.37     839.51     GE   Marked/GE.IBBN..BHZ.D.2025.087.062204.SAC
INCN     BHZ      37.4777    126.6244   52.83      30.62      00     4.2807e-01   374.28     432.38     IU   Marked/IU.INCN.00.BHZ.M.2025.087.061706.SAC
INK      BHZ      68.3065    -133.5254  16.47      82.81      --     1.2979e-01   746.85     932.97     CN   Marked/CN.INK..BHZ.M.2025.087.062316.SAC
INU      BHZ      35.3500    137.0290   60.36      38.13      00     2.8211e-01   440.08     525.24     G    Marked/G.INU.00.BHZ.D.2025.087.061811.SAC
JAGI     BHZ      -8.4702    114.1521   147.49     35.32      --     4.3121e-01   415.03     492.39     GE   Marked/GE.JAGI..BHZ.D.2025.087.061728.SAC
KAPI     BHZ      -5.0142    119.7517   136.20     35.69      00     4.3248e-01   419.02     496.92     II   Marked/II.KAPI.00.BHZ.M.2025.087.061750.SAC
KBS      BHZ      78.9154    11.9385    348.00     67.28      00     1.8187e-01   656.20     801.64     IU   Marked/IU.KBS.00.BHZ.M.2025.087.062146.SAC
KDAK     BHZ      57.7828    -152.5835  30.08      82.20      10     5.7033e-01   742.51     927.95     II   Marked/II.KDAK.10.BHZ.M.2025.087.062313.SAC
KEV      BHZ      69.7565    27.0035    338.53     62.17      00     4.6121e-01   623.08     756.97     IU   Marked/IU.KEV.00.BHZ.M.2025.087.062113.SAC
KIBK     BHZ      -2.3591    38.0433    254.48     61.50      --     4.4904e-02   618.50     751.05     GE   Marked/GE.KIBK..BHZ.D.2025.087.062105.SAC
KIEV     BHZ      50.7012    29.2242    316.91     58.53      00     1.9115e-01   597.19     724.73     IU   Marked/IU.KIEV.00.BHZ.M.2025.087.062048.SAC
KIV      BHZ      43.9553    42.6863    309.80     48.74      00     1.1342e-01   527.24     636.66     II   Marked/II.KIV.00.BHZ.M.2025.087.061936.SAC
KMBO     BHZ      -1.1271    37.2525    256.13     61.67      00     3.5844e-02   620.02     752.49     IU   Marked/IU.KMBO.00.BHZ.M.2025.087.062110.SAC
KONO     BHZ      59.6521    9.5946     327.32     69.32      00     8.9051e-01   669.51     819.29     IU   Marked/IU.KONO.00.BHZ.M.2025.087.062159.SAC
KURK     BHZ      50.7154    78.6202    338.93     31.74      00     1.8326e-01   386.25     447.13     II   Marked/II.KURK.00.BHZ.M.2025.087.061716.SAC
LBTB     BHZ      -25.0151   25.5966    239.49     82.85      00     1.0378e-01   745.91     933.32     GT   Marked/GT.LBTB.00.BHZ.M.2025.087.062316.SAC
LSZ      BHZ      -15.2779   28.1882    247.04     76.10      60     9.4284e-02   709.78     877.20     IU   Marked/IU.LSZ.60.BHZ.M.2025.087.062239.SAC
LVZ      BHZ      67.8979    34.6514    337.30     59.02      00     7.0652e-01   601.11     729.13     II   Marked/II.LVZ.00.BHZ.M.2025.087.062051.SAC
MA2      BHZ      59.5756    150.7700   31.04      53.61      00     1.5582e-01   562.32     680.77     IU   Marked/IU.MA2.00.BHZ.M.2025.087.062013.SAC
MAJO     BHZ      36.5457    138.2041   58.73      39.27      00     3.8670e-01   449.77     537.67     IU   Marked/IU.MAJO.00.BHZ.M.2025.087.061820.SAC
MATE     BHZ      40.6491    16.7044    306.41     67.94      --     1.1300e-01   659.50     807.39     GE   Marked/GE.MATE..BHZ.D.2025.087.062130.SAC
MBAR     BHZ      -0.6019    30.7382    259.70     67.35      10     6.0771e-02   657.74     802.23     II   Marked/II.MBAR.10.BHZ.M.2025.087.062147.SAC
MBWA     BHZ      -21.1590   119.7313   149.93     49.01      00     3.5153e-01   526.30     639.08     IU   Marked/IU.MBWA.00.BHZ.M.2025.087.061938.SAC
MDJ      BHZ      44.6176    129.5934   42.71      35.67      00     2.6369e-01   420.26     496.73     IC   Marked/IC.MDJ.00.BHZ.M.2025.087.061750.SAC
MORC     BHZ      49.7766    17.5428    316.11     66.01      --     8.1217e-02   648.50     790.61     GE   Marked/GE.MORC..BHZ.D.2025.087.062130.SAC
MTE      BHZ      40.3997    -7.5442    312.01     85.51      --     2.4666e-01   760.20     955.04     GE   Marked/GE.MTE..BHZ.D.2025.087.062317.SAC
NOUC     BHZ      -22.0986   166.3067   117.90     81.51      00     2.5714e-01   739.89     922.33     G    Marked/G.NOUC.00.BHZ.D.2025.087.062309.SAC
NWAO     BHZ      -32.9277   117.2390   158.94     58.57      00     3.5431e-01   596.19     725.13     IU   Marked/IU.NWAO.00.BHZ.M.2025.087.062048.SAC
OBN      BHZ      55.1146    36.5674    322.84     54.72      10     2.2642e-01   570.37     690.82     II   Marked/II.OBN.10.BHZ.M.2025.087.062021.SAC
PAB      BHZ      39.5446    -4.3499    310.21     83.63      00     1.2575e-01   750.72     939.73     IU   Marked/IU.PAB.00.BHZ.M.2025.087.062320.SAC
PABE     BHZ      55.5052    23.9680    322.29     61.88      --     2.9617e-01   620.04     754.37     GE   Marked/GE.PABE..BHZ.D.2025.087.062108.SAC
PET      BHZ      53.0233    158.6499   40.08      56.30      00     3.9005e-01   581.49     704.96     IU   Marked/IU.PET.00.BHZ.M.2025.087.062032.SAC
PLAI     BHZ      -8.8275    117.7765   142.70     37.54      --     4.6419e-01   433.61     518.72     GE   Marked/GE.PLAI..BHZ.D.2025.087.061742.SAC
PMG      BHZ      -9.4047    147.1597   116.29     59.23      00     1.3656e-01   603.23     730.98     GE   Marked/GE.PMG.00.BHZ.D.2025.087.062050.SAC
PSZ      BHZ      47.9184    19.8944    313.91     64.66      --     3.0632e-01   639.84     778.80     GE   Marked/GE.PSZ..BHZ.D.2025.087.062126.SAC
PUL      BHZ      59.7670    30.3170    327.54     58.91      --     1.2692e+00   600.81     728.12     GE   Marked/GE.PUL..BHZ.D.2025.087.062050.SAC
RAYN     BHZ      23.5225    45.5032    282.07     46.28      00     5.9841e-02   508.53     613.04     II   Marked/II.RAYN.00.BHZ.M.2025.087.061917.SAC
RER      BHZ      -21.1712   55.7399    225.18     58.31      00     5.5895e-01   595.81     722.85     G    Marked/G.RER.00.BHZ.D.2025.087.062046.SAC
RGN      BHZ      54.5477    13.3214    321.59     68.02      --     3.3722e-01   661.24     808.04     GE   Marked/GE.RGN..BHZ.D.2025.087.062141.SAC
ROCAM    BHZ      -19.7555   63.3701    219.86     52.49      00     9.1965e-01   553.15     670.68     G    Marked/G.ROCAM.00.BHZ.D.2025.087.062004.SAC
