# prepare_marked_for_prep report
input_marked_dir: /Data/Tele/Miyako/Marked
output_dir: /Data/Tele/Miyako/prep2_ready
total_sac_files: 72
written_records: 72
skipped_records: 0

status|station|detail
OK|AU.EIDS.00.BHZ|pick=T4:297.613098; sac=AU.EIDS.00.BHZ.M.2026.110.075841.SAC; pz=SACPZ.AU.EIDS.00.BHZ; info=EIDS.00.BHZ.info
OK|AU.KNRA.00.BHZ|pick=T3:297.533936; sac=AU.KNRA.00.BHZ.M.2026.110.075743.SAC; pz=SACPZ.AU.KNRA.00.BHZ; info=KNRA.00.BHZ.info
OK|AU.QLP.00.BHZ|pick=T4:296.896576; sac=AU.QLP.00.BHZ.M.2026.110.075846.SAC; pz=SACPZ.AU.QLP.00.BHZ; info=QLP.00.BHZ.info
OK|AU.WRKA.00.BHZ|pick=T4:297.356659; sac=AU.WRKA.00.BHZ.M.2026.110.075845.SAC; pz=SACPZ.AU.WRKA.00.BHZ; info=WRKA.00.BHZ.info
OK|BK.CMB.00.BHZ|pick=T4:676.879761; sac=BK.CMB.00.BHZ.M.2026.110.075915.SAC; pz=SACPZ.BK.CMB.00.BHZ; info=CMB.00.BHZ.info
OK|CI.PASC.00.BHZ|pick=T3:698.603394; sac=CI.PASC.00.BHZ.M.2026.110.075938.SAC; pz=SACPZ.CI.PASC.00.BHZ; info=PASC.00.BHZ.info
OK|CN.INK.--.BHZ|pick=T3:301.779694; sac=CN.INK..BHZ.M.2026.110.075658.SAC; pz=SACPZ.CN.INK..BHZ; info=INK..BHZ.info
OK|CN.YKAW3.--.BHZ|pick=T4:301.504852; sac=CN.YKAW3..BHZ.M.2026.110.075805.SAC; pz=SACPZ.CN.YKAW3..BHZ; info=YKAW3..BHZ.info
OK|G.NOUC.00.BHZ|pick=T4:298.169037; sac=G.NOUC.00.BHZ.M.2026.110.075841.SAC; pz=SACPZ.G.NOUC.00.BHZ; info=NOUC.00.BHZ.info
OK|G.SANVU.00.BHZ|pick=T4:297.472076; sac=G.SANVU.00.BHZ.M.2026.110.075801.SAC; pz=SACPZ.G.SANVU.00.BHZ; info=SANVU.00.BHZ.info
OK|GE.APE.--.BHZ|pick=T4:329.456238; sac=GE.APE..BHZ.M.2026.110.075956.SAC; pz=SACPZ.GE.APE..BHZ; info=APE..BHZ.info
OK|GE.CSS.--.BHZ|pick=T4:316.858612; sac=GE.CSS..BHZ.M.2026.110.075955.SAC; pz=SACPZ.GE.CSS..BHZ; info=CSS..BHZ.info
OK|GE.DAG.--.BHZ|pick=T4:324.204865; sac=GE.DAG..BHZ.M.2026.110.075758.SAC; pz=SACPZ.GE.DAG..BHZ; info=DAG..BHZ.info
OK|GE.DAMY.--.BHZ|pick=T4:311.275391; sac=GE.DAMY..BHZ.M.2026.110.080032.SAC; pz=SACPZ.GE.DAMY..BHZ; info=DAMY..BHZ.info
