 # mrr mtt mff mrt mrf mtf strike1 dip1 rake1 strike2 dip2 rake2
   0.000000   0.000000   0.000000   0.000000   0.000000  -1.000000  360.00   90.00    0.00  270.00   90.00  180.00
   0.000000   1.000000  -1.000000   0.000000   0.000000   0.000000  315.00   90.00    0.00  225.00   90.00  180.00
   0.000000   0.000000   0.000000   0.000000  -1.000000   0.000000   90.00    0.02 -180.00    0.00   90.00  -89.98
   0.000000   0.000000   0.000000   1.000000   0.000000   0.000000   90.00   90.00   90.00  135.00    0.00   -0.00
   1.000000  -1.000000   0.000000   0.000000   0.000000   0.000000   90.00   45.00   90.00  270.00   45.00   90.00
   0.469846  -0.006747  -0.463099   0.358566   0.801772  -0.104693   22.65   75.92   95.24  182.00   15.00   70.00
  -0.873861   0.139412   0.734449   0.099561   0.467566   0.332005   29.79   31.24  -80.17  198.34   59.27  -95.91
  -0.171010  -0.016757   0.187767   0.896783  -0.327695  -0.236653  291.37   84.92 -104.13  182.00   15.00  -20.00
  -0.043059   0.692890  -0.649831   0.192538  -0.167518   0.694803  291.37   84.92  -14.13   22.65   75.92 -174.76
  -0.051315   0.720930  -0.669615  -0.172948  -0.185588  -0.671019   67.75   83.72 -166.35  336.23   76.43   -6.46
 # component strike dip rake
 1    0.00   90.00    0.00
 1  182.00   15.00   70.00
